club_decade_player_id,club_decade_id,team_id,team_name,decade,player_id,player_name,citizenship,position,main_position,game_position,seasons_count,rows_count,goals,assists,clean_sheets,goals_conceded,yellow_cards,direct_red_cards,penalty_goals,minutes_played,raw_score,local_rating,global_rating,global_percentile,hidden_modifier,effective_global_rating
10674_fk_kharkiv_2010_2000s_58956,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,58956,Oleksandr Maksymov (58956),Ukraine,Midfield - Central Midfield,Midfield,CM,3,3,1.0,1,0,0,3,0,0,1575.0,18.0,58.4,69.1,0.6780129901371181,1.0,69.1
10674_fk_kharkiv_2010_2000s_72899,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,72899,Oleksandr Sytnyk (72899),Ukraine,Midfield - Right Midfield,Midfield,RM,1,1,0.0,3,0,0,0,0,0,0.0,15.0,57.0,67.4,0.6314649987972095,1.0,67.4
10674_fk_kharkiv_2010_2000s_58418,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,58418,Vadym Milko (58418),Ukraine,Midfield - Central Midfield,Midfield,CM,2,2,0.0,2,0,0,6,0,0,0.0,14.0,56.6,67.0,0.6188356988212653,1.0,67.0
10674_fk_kharkiv_2010_2000s_35352,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,35352,Taras Kabanov (35352),Ukraine,Attack - Centre-Forward,Attack,FW,1,1,1.0,1,0,0,0,0,0,808.0,12.0,55.6,65.5,0.5752946836661054,1.0,65.5
10674_fk_kharkiv_2010_2000s_25739,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,25739,Kakhaber Aladashvili (25739),Georgia,Defender - Right-Back,Defender,RB,1,1,0.0,0,0,0,3,0,0,0.0,3.0,51.4,51.2,0.16754871301419294,1.0,51.2
10674_fk_kharkiv_2010_2000s_27191,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,27191,Oleg Karamushka (27191),Ukraine,Defender - Centre-Back,Defender,CB,1,1,0.0,0,0,0,0,0,0,0.0,3.0,51.4,51.2,0.16754871301419294,1.0,51.2
10674_fk_kharkiv_2010_2000s_29731,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,29731,Maciej Nalepa (29731),Poland,Goalkeeper,Goalkeeper,GK,1,1,0.0,0,0,14,1,0,0,652.0,3.0,51.4,51.2,0.16754871301419294,1.0,51.2
10674_fk_kharkiv_2010_2000s_91352,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,91352,Dmytro Gololobov (91352),Ukraine,Defender - Centre-Back,Defender,CB,1,1,0.0,0,0,0,1,0,0,0.0,3.0,51.4,51.2,0.16754871301419294,1.0,51.2
10674_fk_kharkiv_2010_2000s_91801,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,91801,Oleksandr Sklyar (91801),Ukraine,Midfield - Central Midfield,Midfield,CM,1,1,0.0,0,0,0,0,0,0,0.0,3.0,51.4,51.2,0.16754871301419294,1.0,51.2
10674_fk_kharkiv_2010_2000s_95784,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,95784,Volodymyr Kornutyak (95784),Ukraine  Hungary,Defender - Centre-Back,Defender,CB,1,1,0.0,0,0,0,1,0,0,0.0,3.0,51.4,51.2,0.16754871301419294,1.0,51.2
