player_name,normalized_player_name,club_name,decade,source_pass,confidence,input_position,game_position,goals,assists,clean_sheets,seasons_count,raw_score,provisional_rating,rating_reason,player_id,club_decade_player_id
Yuriy Dmytrulin,yuriy dmytrulin,Dynamo Kyiv,2000s,legends,High,LB/CB,LB,,,,5,15.0,83.3,Relative legends rating at the 87% percentile of the overall club-decade pool (60 players); confidence=High; reconstructed statistics were too incomplete for rating,8716042,338_dynamo_kyiv_2000s_8716042
Taras Mykhalyk,taras mykhalyk,Dynamo Kyiv,2000s,legends,High,CB/DM,CB,,,,4,12.0,84.1,Relative legends rating at the 87% percentile of the same-position group (8 players); confidence=High; reconstructed statistics were too incomplete for rating,8995023,338_dynamo_kyiv_2000s_8995023
Taras Mykhalyk,taras mykhalyk,Dynamo Kyiv,2010s,legends,High,CB/DM,CB,,,,3,9.0,75.3,Relative legends rating at the 87% percentile of the same-position group (12 players); confidence=High; reconstructed statistics were too incomplete for rating,8995023,338_dynamo_kyiv_2010s_8995023
Anatoliy Tymoshchuk,anatoliy tymoshchuk,Shakhtar Donetsk,1990s,legends,High,DM/CM,CDM,,,,3,9.0,83.3,Relative legends rating at the 90% percentile of the overall club-decade pool (14 players); confidence=High; reconstructed statistics were too incomplete for rating,8562832,660_shakhtar_donetsk_1990s_8562832
Anatoliy Tymoshchuk,anatoliy tymoshchuk,Shakhtar Donetsk,2000s,legends,High,DM/CM,CDM,,,,7,21.0,92.0,Relative legends rating at the 90% percentile of the same-position group (3 players); confidence=High; reconstructed statistics were too incomplete for rating,8562832,660_shakhtar_donetsk_2000s_8562832
Brandao,brandao,Shakhtar Donetsk,2000s,legends,High,FW,FW,,,,7,21.0,92.0,Relative legends rating at the 87% percentile of the same-position group (11 players); confidence=High; reconstructed statistics were too incomplete for rating,8822964,660_shakhtar_donetsk_2000s_8822964
Gennadiy Zubov,gennadiy zubov,Shakhtar Donetsk,1990s,legends,High,RM/AM,RM,,,,6,18.0,78.7,Relative legends rating at the 87% percentile of the overall club-decade pool (14 players); confidence=High; reconstructed statistics were too incomplete for rating,8433084,660_shakhtar_donetsk_1990s_8433084
Gennadiy Zubov,gennadiy zubov,Shakhtar Donetsk,2000s,legends,High,RM/AM,RM,,,,4,12.0,79.4,Relative legends rating at the 87% percentile of the same-position group (4 players); confidence=High; reconstructed statistics were too incomplete for rating,8433084,660_shakhtar_donetsk_2000s_8433084
Serhiy Atelkin,serhiy atelkin,Shakhtar Donetsk,1990s,legends,High,FW,FW,,,,,,85.1,Relative legends rating at the 90% percentile of the same-position group (4 players); confidence=High,8037576,660_shakhtar_donetsk_1990s_8037576
Serhiy Atelkin,serhiy atelkin,Shakhtar Donetsk,2000s,legends,High,FW,FW,,,,,,92.0,Relative legends rating at the 90% percentile of the same-position group (11 players); confidence=High,8037576,660_shakhtar_donetsk_2000s_8037576
Oleg Matveev,oleg matveev,Shakhtar Donetsk,1990s,legends,High,FW,FW,,,,,,85.1,Relative legends rating at the 90% percentile of the same-position group (4 players); confidence=High,8736782,660_shakhtar_donetsk_1990s_8736782
Elano,elano,Shakhtar Donetsk,2000s,legends,Medium,CM/AM,CM,,,,3,9.0,78.7,Relative legends rating at the 87% percentile of the same-position group (3 players); confidence=Medium; reconstructed statistics were too incomplete for rating,8601307,660_shakhtar_donetsk_2000s_8601307
Mariusz Lewandowski,mariusz lewandowski,Shakhtar Donetsk,2000s,legends,High,DM/CB,CDM,,,,9,27.0,92.0,Relative legends rating at the 87% percentile of the same-position group (3 players); confidence=High; reconstructed statistics were too incomplete for rating,8087111,660_shakhtar_donetsk_2000s_8087111
Mariusz Lewandowski,mariusz lewandowski,Shakhtar Donetsk,2010s,legends,High,DM/CB,CDM,,,,0,0.0,88.3,Relative legends rating at the 87% percentile of the same-position group (6 players); confidence=High; reconstructed statistics were too incomplete for rating,8087111,660_shakhtar_donetsk_2010s_8087111
Serhiy Valyayev,serhiy valyayev,Metalist Kharkiv,2000s,legends,High,CM/DM,CM,,,,5,15.0,84.9,Relative legends rating at the 87% percentile of the same-position group (7 players); confidence=High; reconstructed statistics were too incomplete for rating,8183704,6414_metalist_kharkiv_2000s_8183704
Serhiy Valyayev,serhiy valyayev,Metalist Kharkiv,2010s,legends,High,CM/DM,CM,,,,2,6.0,78.6,Relative legends rating at the 87% percentile of the same-position group (4 players); confidence=High; reconstructed statistics were too incomplete for rating,8183704,6414_metalist_kharkiv_2010s_8183704
Vadym Goldin,vadym goldin,Metalist Kharkiv,1990s,legends,Medium,MF,CM,,,,,,72.6,Relative legends rating at the 84% percentile of the overall club-decade pool (10 players); confidence=Medium,8603941,6414_metalist_kharkiv_1990s_8603941
Vadym Goldin,vadym goldin,Metalist Kharkiv,2000s,legends,Medium,MF,CM,,,,,,84.3,Relative legends rating at the 84% percentile of the same-position group (7 players); confidence=Medium,8603941,6414_metalist_kharkiv_2000s_8603941
Oleksiy Godin,oleksiy godin,Metalurg Zaporizhya,2000s,legends,High,CM/AM,CM,,,,10,30.0,77.7,Relative legends rating at the 90% percentile of the overall club-decade pool (31 players); confidence=High; reconstructed statistics were too incomplete for rating,8602786,6994_metalurg_zaporizhya_2000s_8602786
Oleksiy Godin,oleksiy godin,Metalurg Zaporizhya,2010s,legends,High,CM/AM,CM,,,,5,15.0,72.6,Relative legends rating at the 90% percentile of the same-position group (5 players); confidence=High; reconstructed statistics were too incomplete for rating,8602786,6994_metalurg_zaporizhya_2010s_8602786
Dmytro Nevmyvaka,dmytro nevmyvaka,Metalurg Zaporizhya,2000s,legends,High,CB,CB,,,,5,15.0,75.2,Relative legends rating at the 90% percentile of the same-position group (9 players); confidence=High; reconstructed statistics were too incomplete for rating,8713027,6994_metalurg_zaporizhya_2000s_8713027
Dmytro Nevmyvaka,dmytro nevmyvaka,Metalurg Zaporizhya,2010s,legends,High,CB,CB,,,,5,15.0,70.7,Relative legends rating at the 90% percentile of the same-position group (11 players); confidence=High; reconstructed statistics were too incomplete for rating,8713027,6994_metalurg_zaporizhya_2010s_8713027
Tymerlan Huseynov,tymerlan huseynov,Chornomorets Odesa,1990s,legends,High,FW,FW,,,,5,15.0,72.4,Relative legends rating at the 90% percentile of the same-position group (3 players); confidence=High; reconstructed statistics were too incomplete for rating,8094516,6992_chornomorets_odesa_1990s_8094516
Yuriy Nikiforov,yuriy nikiforov,Chornomorets Odesa,1990s,legends,Medium,CB,CB,,,,,,75.2,Relative legends rating at the 84% percentile of the overall club-decade pool (14 players); confidence=Medium,8369832,6992_chornomorets_odesa_1990s_8369832
