player_name,normalized_player_name,club_name,decade,source_pass,confidence,input_position,game_position,goals,assists,clean_sheets,seasons_count,raw_score,provisional_rating,rating_reason,player_id,club_decade_player_id
Oleksandr Kozhemyachenko,oleksandr kozhemyachenko,Desna Chernigiv,2010s,core_squad,High,Forward,FW,,,,,,73.7,Relative core_squad rating at the 73% percentile of the same-position group (6 players); confidence=High,8195541,16239_desna_chernigiv_2010s_8195541
Dmytro Shutkov,dmytro shutkov,Shakhtar Donetsk,1990s,first_pass,High,GK,GK,0,,,,0.0,66.9,Relative first_pass rating at the 51% percentile of the overall club-decade pool (14 players); confidence=High; reconstructed statistics were too incomplete for rating,8738345,660_shakhtar_donetsk_1990s_8738345
Dmytro Shutkov,dmytro shutkov,Shakhtar Donetsk,2000s,first_pass,High,GK,GK,0,,,,0.0,74.2,Relative first_pass rating at the 51% percentile of the same-position group (5 players); confidence=High; reconstructed statistics were too incomplete for rating,8738345,660_shakhtar_donetsk_2000s_8738345
Serhiy Popov,serhiy popov,Shakhtar Donetsk,1990s,first_pass,High,CB,CB,,,,,,58.6,Relative first_pass rating at the 54% percentile of the same-position group (3 players); confidence=High,8410378,660_shakhtar_donetsk_1990s_8410378
Serhiy Popov,serhiy popov,Shakhtar Donetsk,2000s,first_pass,High,CB,CB,,,,,,58.6,Relative first_pass rating at the 51% percentile of the same-position group (12 players); confidence=High,8410378,660_shakhtar_donetsk_2000s_8410378
Oleksandr Horyainov,oleksandr horyainov,Metalist Kharkiv,1990s,first_pass,High,GK,GK,0,,,,0.0,64.4,Relative first_pass rating at the 51% percentile of the same-position group (3 players); confidence=High; reconstructed statistics were too incomplete for rating,8088274,6414_metalist_kharkiv_1990s_8088274
Oleksandr Horyainov,oleksandr horyainov,Metalist Kharkiv,2000s,first_pass,High,GK,GK,0,,,,0.0,61.2,Relative first_pass rating at the 51% percentile of the same-position group (7 players); confidence=High; reconstructed statistics were too incomplete for rating,8088274,6414_metalist_kharkiv_2000s_8088274
Oleksandr Horyainov,oleksandr horyainov,Metalist Kharkiv,2010s,first_pass,High,GK,GK,0,,,,0.0,59.4,Relative first_pass rating at the 51% percentile of the same-position group (8 players); confidence=High; reconstructed statistics were too incomplete for rating,8088274,6414_metalist_kharkiv_2010s_8088274
Oleksandr Chyzhevskyi,oleksandr chyzhevskyi,Karpaty Lviv,1990s,first_pass,High,CB,CB,,,,,,67.5,Relative first_pass rating at the 51% percentile of the same-position group (5 players); confidence=High,8926557,2477_karpaty_lviv_1990s_8926557
Oleksandr Chyzhevskyi,oleksandr chyzhevskyi,Karpaty Lviv,2000s,first_pass,Medium,CB,CB,,,,,,64.6,Relative first_pass rating at the 48% percentile of the same-position group (9 players); confidence=Medium,8926557,2477_karpaty_lviv_2000s_8926557
Oleh Holodyuk,oleh holodyuk,Karpaty Lviv,2000s,first_pass,High,CM,CM,,,,,,63.1,Relative first_pass rating at the 51% percentile of the same-position group (7 players); confidence=High,8161802,2477_karpaty_lviv_2000s_8161802
Oleh Holodyuk,oleh holodyuk,Karpaty Lviv,2010s,first_pass,High,CM,CM,,,,,,69.4,Relative first_pass rating at the 51% percentile of the same-position group (10 players); confidence=High,8161802,2477_karpaty_lviv_2010s_8161802
Oleksandr Gaydash,oleksandr gaydash,Tavriya Simferopol,1990s,first_pass,High,FW,FW,,,,,,64.4,Relative first_pass rating at the 51% percentile of the overall club-decade pool (7 players); confidence=High,8823936,2227_tavriya_simferopol_1990s_8823936
Oleksandr Holovko,oleksandr holovko,Tavriya Simferopol,1990s,first_pass,High,CB,CB,,,,,,64.4,Relative first_pass rating at the 51% percentile of the overall club-decade pool (7 players); confidence=High,8815625,2227_tavriya_simferopol_1990s_8815625
Oleksandr Granovskyi,oleksandr granovskyi,Kryvbas Kryvyi Rig,1990s,first_pass,Medium,CB,CB,,,,,,58.6,Relative first_pass rating at the 48% percentile of the overall club-decade pool (7 players); confidence=Medium,8657778,3592_kryvbas_kryvyi_rig_1990s_8657778
Oleksandr Granovskyi,oleksandr granovskyi,Kryvbas Kryvyi Rig,2000s,first_pass,Medium,CB,CB,,,,,,59.1,Relative first_pass rating at the 48% percentile of the same-position group (18 players); confidence=Medium,8657778,3592_kryvbas_kryvyi_rig_2000s_8657778
Oleh Fedyukov,oleh fedyukov,Volyn Lutsk,1990s,first_pass,High,DF,CB,,,,,,69.3,Relative first_pass rating at the 54% percentile of the overall club-decade pool (3 players); confidence=High,8412376,4482_volyn_lutsk_1990s_8412376
Oleh Fedyukov,oleh fedyukov,Volyn Lutsk,2000s,first_pass,High,DF,CB,,,,,,51.8,Relative first_pass rating at the 54% percentile of the same-position group (3 players); confidence=High,8412376,4482_volyn_lutsk_2000s_8412376
Volodymyr Mozolyuk,volodymyr mozolyuk,Volyn Lutsk,1990s,first_pass,High,FW,FW,,,,,,69.2,Relative first_pass rating at the 51% percentile of the overall club-decade pool (3 players); confidence=High,8001537,4482_volyn_lutsk_1990s_8001537
Vasyl Sachko,vasyl sachko,Volyn Lutsk,2000s,first_pass,High,FW,FW,,,,,,71.6,Relative first_pass rating at the 51% percentile of the same-position group (5 players); confidence=High,8667157,4482_volyn_lutsk_2000s_8667157
Oleksandr Pyschur,oleksandr pyschur,Volyn Lutsk,2010s,first_pass,Medium,FW,FW,,,,,,74.9,Relative first_pass rating at the 48% percentile of the same-position group (6 players); confidence=Medium,8066564,4482_volyn_lutsk_2010s_8066564
Ihor Luchkevych,ihor luchkevych,Metalurg Zaporizhya,1990s,first_pass,High,MF,CM,,,,,,51.6,Relative first_pass rating at the 51% percentile of the same-position group (3 players); confidence=High,8756659,6994_metalurg_zaporizhya_1990s_8756659
Yuriy Markin,yuriy markin,Metalurg Zaporizhya,1990s,first_pass,High,DF,CB,,,,,,57.7,Relative first_pass rating at the 51% percentile of the overall club-decade pool (12 players); confidence=High,8374660,6994_metalurg_zaporizhya_1990s_8374660
Andriy Demchenko,andriy demchenko,Metalurg Zaporizhya,1990s,first_pass,Medium,MF,CM,,,,,,51.2,Relative first_pass rating at the 48% percentile of the same-position group (3 players); confidence=Medium,8829783,6994_metalurg_zaporizhya_1990s_8829783
Andriy Demchenko,andriy demchenko,Metalurg Zaporizhya,2000s,first_pass,Medium,MF,CM,,,,,,67.2,Relative first_pass rating at the 48% percentile of the overall club-decade pool (31 players); confidence=Medium,8829783,6994_metalurg_zaporizhya_2000s_8829783
Anatoliy Mushchynka,anatoliy mushchynka,Metalurg Zaporizhya,1990s,first_pass,Medium,MF,CM,,,,,,51.2,Relative first_pass rating at the 48% percentile of the same-position group (3 players); confidence=Medium,8892959,6994_metalurg_zaporizhya_1990s_8892959
