bucket,strength,definition,id,title_ua,title_en,competition,count,frequency,frequency_percent
strong,74.3,80th percentile effective/global player rating from current generated player data,75,Стара школа,Old School,Both,23112,0.23112,23.112
strong,74.3,80th percentile effective/global player rating from current generated player data,93,Це нормально,This Is Fine,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,12,Перед каждою ігрою!..,Before Every Game!..,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,13,"Здається, Бог наказує нас за щось","Apparently, God Punishes Us",Both,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,23,Непереможні,Invincibles,League,2790,0.0279,2.79
elite,84.6,95th percentile effective/global player rating from current generated player data,24,Безкомпромісні,No Compromises,League,174,0.00174,0.174
elite,84.6,95th percentile effective/global player rating from current generated player data,25,Ідеально збалансовано,Perfectly Balanced,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,26,Потужно,Powerful Stuff,League,1,0.00001,0.001
elite,84.6,95th percentile effective/global player rating from current generated player data,27,Сухий закон,Prohibition,Both,26395,0.26395,26.395000000000003
elite,84.6,95th percentile effective/global player rating from current generated player data,31,Я так бачу,Trust My Eyes,Both,93793,0.93793,93.793
elite,84.6,95th percentile effective/global player rating from current generated player data,35,Автобус припарковано,Bus Parked,Both,68580,0.6858,68.58
elite,84.6,95th percentile effective/global player rating from current generated player data,50,Пропало все. Господи допоможи,Everything Is Lost. God Save Us All,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,51,Нічия влаштовує,A Draw Will Do,League,15,0.00015,0.015
elite,84.6,95th percentile effective/global player rating from current generated player data,52,"Маємо те, що маємо",It Is What It Is,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,53,На тоненького,By a Thread,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,54,Бавовна,Bavovna,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,55,Захист для слабаків,Defense Optional,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,75,Стара школа,Old School,Both,93793,0.93793,93.793
elite,84.6,95th percentile effective/global player rating from current generated player data,93,Це нормально,This Is Fine,League,0,0,0
